Galaxy,Subsample,Filter,z,t_L (Gyr),λ rf (μm),M rf,M F814W,N arms,R_25 (kpc),N_c,C/T,C/T_F814W,r_c/h,f_cs(0.2)
g181,COSMOS,F814W,0.54,5.32,0.523,-21.95,-22.43,3,17.492,14,0.044,0.033,1.33,0.79
g182,COSMOS,F814W,0.842,7.03,0.438,-22.06,-23.1,2,21.799,17,0.114,0.074,2.87,0.47
EGS10221,CEERS,F115W,1.228,8.52,0.518,-19.75,-20.14,2,,2,0.069,0.065,2.91,0.0
EGS10221,CEERS,F150W,1.228,8.52,0.674,-20.02,-20.14,2,9.557,2,0.067,0.065,2.55,0.0
EGS10221,CEERS,F200W,1.228,8.52,0.893,-20.16,-20.14,2,10.156,2,0.064,0.065,2.08,0.0
EGS13670,CEERS,F115W,1.416,9.06,0.478,-22.5,-22.98,3,14.651,18,0.063,0.06,2.52,0.33
EGS13670,CEERS,F150W,1.416,9.06,0.621,-22.82,-22.98,3,14.232,18,0.062,0.06,2.69,0.33
EGS13670,CEERS,F200W,1.416,9.06,0.824,-22.99,-22.98,3,15.589,18,0.06,0.06,3.28,0.22
EGS13670,CEERS,F277W,1.416,9.06,1.153,-23.29,-22.98,3,,15,0.046,0.06,4.28,0.2
EGS13670,CEERS,F356W,1.416,9.06,1.475,-23.37,-22.98,3,17.228,15,0.042,0.06,4.06,0.2
EGS13670,CEERS,F410M,1.416,9.06,1.694,-23.49,-22.98,3,15.35,15,0.042,0.06,4.15,0.13
EGS13670,CEERS,F444W,1.416,9.06,1.83,-23.53,-22.98,3,18.382,14,0.04,0.06,4.17,0.21
EGS14565,CEERS,F115W,1.661,9.63,0.434,-21.7,-22.45,3,16.663,7,0.044,0.035,1.0,1.0
EGS14565,CEERS,F150W,1.661,9.63,0.564,-22.1,-22.45,3,,7,0.037,0.035,1.61,0.57
EGS14565,CEERS,F200W,1.661,9.63,0.748,-22.4,-22.45,3,17.49,7,0.037,0.035,1.79,0.57
EGS14565,CEERS,F277W,1.661,9.63,1.047,-22.62,-22.45,3,22.841,7,0.024,0.035,1.83,0.71
EGS14565,CEERS,F410M,1.661,9.63,1.538,-22.87,-22.45,3,26.084,7,0.017,0.035,2.04,0.71
EGS14565,CEERS,F444W,1.661,9.63,1.661,-22.94,-22.45,3,28.484,7,0.019,0.035,1.99,0.71
EGS21378,CEERS,F150W,3.301,11.57,0.349,-20.68,,1,,1,0.012,0.006,1.34,1.0
EGS21378,CEERS,F200W,3.301,11.57,0.463,-22.51,,1,,1,0.007,0.006,1.06,1.0
EGS21378,CEERS,F277W,3.301,11.57,0.648,-23.28,,1,,1,0.008,0.006,1.34,1.0
EGS21891,CEERS,F115W,1.126,8.18,0.543,-21.63,-21.79,5,15.744,4,0.012,0.012,1.41,0.75
EGS21891,CEERS,F150W,1.126,8.18,0.706,-21.77,-21.79,5,15.926,4,0.012,0.012,1.42,0.75
EGS21891,CEERS,F200W,1.126,8.18,0.936,-21.8,-21.79,5,16.162,4,0.011,0.012,1.47,0.75
EGS21891,CEERS,F277W,1.126,8.18,1.31,-21.92,-21.79,5,17.282,4,0.005,0.012,1.55,0.75
EGS21891,CEERS,F356W,1.126,8.18,1.676,-21.9,-21.79,5,16.591,4,0.005,0.012,1.37,0.75
EGS21891,CEERS,F410M,1.126,8.18,1.925,-21.87,-21.79,5,16.394,3,0.005,0.012,1.64,0.67
EGS21891,CEERS,F444W,1.126,8.18,2.08,-21.82,-21.79,5,16.84,3,0.004,0.012,1.54,1.0
EGS22339,CEERS,F115W,1.543,9.37,0.454,-22.66,-23.33,2,20.54,18,0.054,0.038,2.05,0.56
EGS22339,CEERS,F150W,1.543,9.37,0.59,-22.99,-23.33,2,19.583,17,0.053,0.038,2.78,0.24
EGS22339,CEERS,F200W,1.543,9.37,0.782,-23.3,-23.33,2,20.879,17,0.039,0.038,2.99,0.24
EGS22339,CEERS,F277W,1.543,9.37,1.096,-23.65,-23.33,2,23.049,16,0.027,0.038,2.53,0.38
EGS22339,CEERS,F356W,1.543,9.37,1.401,-23.81,-23.33,2,22.73,16,0.026,0.038,2.66,0.25
EGS22339,CEERS,F410M,1.543,9.37,1.609,-23.92,-23.33,2,21.599,15,0.023,0.038,2.8,0.33
EGS22339,CEERS,F444W,1.543,9.37,1.738,-23.92,-23.33,2,24.077,15,0.027,0.038,2.75,0.27
