Galaxy,Filter,D/T,B/T,Bar/T,R/T,S/T,Disc h (kpc),Disc h err,Disc I_0 (μJy/sq.arcsec),Disc I_0 err,Bulge r_e (kpc),Bulge r_e err,Bulge I_e (μJy/sq.arcsec),Bulge I_e err,Bulge n,Bulge n err,Bar r_e (kpc),Bar r_e err,Bar I_e (μJy/sq.arcsec),Bar I_e err,Bar n,Bar n err
EGS21891,F356W,0.446,0.172,0.0,0.0,0.382,2.687,0.02,76.1,1.9,0.85,0.01,125.1,1.9,0.93,0.02,,,,,,
EGS21891,F410M,0.517,0.12,0.0,0.0,0.363,2.365,0.021,104.2,3.0,0.653,0.016,118.7,4.6,0.86,0.05,,,,,,
EGS21891,F444W,0.519,0.122,0.0,0.0,0.36,2.616,0.015,84.5,1.3,0.656,0.006,131.6,2.5,0.6,0.03,,,,,,
EGS22339,F115W,0.475,0.223,0.0,0.0,0.301,5.277,0.045,38.0,0.8,0.958,0.024,142.0,6.1,3.13,0.06,,,,,,
EGS22339,F150W,0.373,0.304,0.0,0.0,0.323,3.734,0.0,75.5,1.0,1.021,0.015,247.5,6.2,2.62,0.04,,,,,,
EGS22339,F200W,0.409,0.339,0.0,0.0,0.253,3.44,0.0,126.0,1.1,1.002,0.008,415.1,5.9,2.21,0.02,,,,,,
EGS22339,F277W,0.438,0.376,0.0,0.0,0.186,4.063,0.026,136.2,2.4,1.056,0.007,694.8,7.1,1.44,0.01,,,,,,
EGS22339,F356W,0.429,0.387,0.0,0.0,0.184,3.66,0.022,181.6,2.8,1.008,0.005,934.1,7.8,1.32,0.01,,,,,,
EGS22339,F410M,0.408,0.412,0.0,0.0,0.18,3.63,0.02,201.9,2.7,0.977,0.004,1167.9,8.0,1.36,0.01,,,,,,
EGS22339,F444W,0.403,0.414,0.0,0.0,0.184,3.745,0.025,182.2,3.1,0.98,0.005,1163.6,9.8,1.36,0.01,,,,,,
EGS22922,F115W,0.446,0.159,0.0,0.0,0.394,4.655,0.047,43.9,0.8,0.852,0.006,285.0,3.3,0.56,0.01,,,,,,
EGS22922,F150W,0.389,0.206,0.0,0.0,0.405,5.881,0.072,35.7,0.9,1.185,0.007,285.1,2.6,0.72,0.01,,,,,,
EGS22922,F200W,0.372,0.242,0.0,0.0,0.386,4.269,0.038,89.2,1.6,1.059,0.004,484.0,3.2,0.58,0.01,,,,,,
EGS22922,F277W,0.301,0.428,0.0,0.0,0.272,4.308,0.049,83.7,2.2,1.409,0.005,515.2,3.2,0.89,0.01,,,,,,
EGS22922,F356W,0.277,0.46,0.0,0.0,0.263,4.344,0.047,85.8,2.2,1.366,0.004,646.9,3.6,0.91,0.01,,,,,,
EGS22922,F410M,0.262,0.474,0.0,0.0,0.264,4.389,0.046,84.0,2.1,1.305,0.004,746.9,3.4,0.9,0.01,,,,,,
EGS22922,F444W,0.222,0.372,0.0,0.0,0.406,3.489,0.047,93.4,3.3,0.909,0.003,1007.2,5.4,0.69,0.01,,,,,,
